pmcid,doi,title,journal,pubdate,pub_year,criteria_era,article_type_inferred,included,exclusion_reason,num_patients,age_numeric,age_descriptive,age_original_quote,age_range_mapped,age_midpoint_for_analysis,age_group,age_unit_original,sex,has_eds,has_pots,has_mcas,has_mastocytosis,triad_present,diagnostic_criteria_cited,beighton_score,symptoms_detected,terminology_used,extraction_method,extraction_date,eds_subtype,has_heds,has_non_heds_eds,eds_negated
PMC13079633,10.3389/frph.2026.1753684,"Females with hypermobile Ehlers–Danlos syndrome self-report more sexual problems than chronic pain controls without hypermobility, males, or patients with hypermobile spectrum disorders.",Front Reprod Health,2026,2026,post-2017 (2017 international classification),clinical_study,True,,407,,,"2Study designThis retrospective observational study examined adult patients (≥18 years of age) seen at the Mayo Clinic Florida EDS Clinic in the Department of Internal Medicine from 1 February 2020 to 19 May 2025 (n = 1,407) by self-referral or referrals from inside or outside the Mayo Clinic.",,,,years,female,True,False,True,False,False,2017 international classification; Beighton,5,joint_hypermobility; subluxations_dislocations; chronic_pain; skin_hyperextensibility; fatigue; headache_migraine,hEDS; hypermobile EDS; JHS; HSD; MCAS; mast cell activation syndrome,rule_based_v3,2026-04-16T20:47:52.130940,hEDS_HSD,True,False,False
PMC13070550,10.7759/cureus.105190,Tourniquet Use and Anesthesiology Considerations in Patients With Hypermobile Ehlers-Danlos Syndrome: Balancing Orthopedic Needs With Anesthetic Safety.,Cureus,2026 Mar,2026,post-2017 (2017 international classification),review_or_study,True,,16,,,,,,,years,,True,True,False,False,False,,,joint_hypermobility; subluxations_dislocations; chronic_pain; tachycardia; syncope; skin_hyperextensibility; easy_bruising; neuropathy; medication_sensitivity,hEDS; hypermobile EDS; JHS; POTS; postural tachycardia syndrome; dysautonomia,rule_based_v3,2026-04-16T20:47:52.479543,hEDS_HSD,True,False,False
PMC13067300,10.1155/cria/8693646,2-Chloroprocaine vs. Lidocaine in a Patient With Hypermobile Ehlers-Danlos Syndrome and a History of Local Anesthetic Resistance: A Case Report.,Case Rep Anesthesiol,2026,2026,post-2017 (2017 international classification),case_report,True,,1,33,,We describe a 33-year-old G2P0010 ASA III parturient with a history of hEDS and lidocaine resistance who presented for an anesthesia consultation in anticipation of possible neuraxial anesthesia.,,33,adult (30-44),years,,True,False,False,False,False,,,joint_hypermobility; skin_hyperextensibility; headache_migraine,hEDS; hypermobile EDS,rule_based_v3,2026-04-16T20:47:52.485842,hEDS_HSD,True,False,False
PMC13037643,10.2147/VHRM.S592420,The Investigation and Management of the Abdominopelvic Vascular Compression Syndromes in Patients with Ehlers-Danlos Syndrome and Hypermobility Spectrum Disorder.,Vasc Health Risk Manag,2026,2026,post-2017 (2017 international classification),clinical_study,True,,3,,,,,,,years,female,True,True,True,False,True,,,joint_hypermobility; chronic_pain; orthostatic_intolerance; tachycardia; syncope; urticaria; skin_hyperextensibility; fatigue; gi_symptoms; headache_migraine; neuropathy; brain_fog; palpitations,hEDS; hypermobile EDS; JHS; HSD; POTS; postural tachycardia syndrome; dysautonomia; MCAS; mast cell activation syndrome,rule_based_v3,2026-04-16T20:47:53.844643,hEDS_HSD,True,False,False
PMC13026537,10.3390/jcm15062212,Characterizing Initial Cervical Spine and Neurovascular Findings in 84 Consecutive Patients with Hypermobile Ehlers-Danlos Syndrome: A Retrospective Study.,J Clin Med,2026 Mar 14,2026,post-2017 (2017 international classification),clinical_study,True,,84,20,,"Methods: This single-center, retrospective observational study included patients with hEDS aged 20-50 years from 1 January 2022-31 December 2024, at an outpatient neck center.",,20,young adult (18-29),years,female,True,False,False,False,False,2017 international classification,,joint_hypermobility; chronic_pain; orthostatic_intolerance; tachycardia; skin_hyperextensibility; fatigue; headache_migraine; neuropathy; brain_fog; palpitations,hEDS; hypermobile EDS; JHS; dysautonomia,rule_based_v3,2026-04-16T20:47:53.943845,hEDS_HSD,True,False,False
PMC12991944,10.1016/j.tcr.2026.101317,Acute isolated traumatic anterior pisiform dislocation in an adult: A case report.,Trauma Case Rep,2026 Feb,2026,post-2017 (2017 international classification),case_report,True,,1,23,,"This report describes a 23-year-old, right-handed male who presented in March 2024 with acute anterior pisiform dislocation following indirect trauma while lifting furniture.",,23,young adult (18-29),years,male,True,False,False,False,False,,,subluxations_dislocations; chronic_pain,,rule_based_v3,2026-04-16T20:47:53.950016,hEDS_HSD,True,False,False
PMC12966997,10.7759/cureus.103015,Efficacy of Lidocaine Infusion in the Management of Chronic Myofascial Pain and Intractable Migrainous Headache in a Patient With Hypermobile Ehlers-Danlos Syndrome: A Case Report.,Cureus,2026 Feb,2026,post-2017 (2017 international classification),clinical_study,True,,815,,young_adult,"We describe a young adult with longstanding hypermobility, recurrent subluxations, chronic periscapular pain, migrainous headaches, and dysautonomia who achieved marked clinical improvement with lidocaine-based therapies, including trigger-point injections (TPIs) and scheduled intravenous lidocaine ...",18-30 years,24,young adult (18-29),years,female,True,True,True,False,True,2017 international classification; Villefranche; Beighton,5,joint_hypermobility; subluxations_dislocations; chronic_pain; tachycardia; skin_hyperextensibility; easy_bruising; fatigue; gi_symptoms; headache_migraine; neuropathy,hEDS; hypermobile EDS; JHS; HSD; POTS; postural tachycardia syndrome; dysautonomia,rule_based_v3,2026-04-16T20:47:54.105338,hEDS_HSD,True,False,False
PMC12958675,10.1186/s13023-026-04242-4,Prevalence and management of mental health comorbidities in a German cohort of patients with Ehlers-Danlos syndromes and a generalized hypermobility spectrum disorder.,Orphanet J Rare Dis,2026 Feb 3,2026,post-2017 (2017 international classification),clinical_study,True,,59,50,,"gHM was defined according to the 2017 EDS criteria as having a Beighton score of ≥ 5 for pubertal men and women up to the age of 50, and a Beighton score of ≥ 4 for women over 50 years old [1, 20].",,50,middle aged (45-59),years,female,True,False,True,False,False,2017 international classification; Beighton,,joint_hypermobility; chronic_pain; skin_hyperextensibility; easy_bruising; fatigue,hEDS; hypermobile EDS; JHS; HSD; dysautonomia; mast cell activation syndrome,rule_based_v3,2026-04-16T20:47:54.144055,hEDS_HSD,True,False,False
PMC13023622,10.3390/biomedicines14030689,An Overview of Vascular Compression Syndromes and Associations with Autonomic Dysfunction: A Review.,Biomedicines,2026 Mar 17,2026,post-2017 (2017 international classification),clinical_study,True,,64,,child,,3-12 years,7.5,childhood (5-11),years,female,True,True,True,False,True,Beighton,2,joint_hypermobility; chronic_pain; orthostatic_intolerance; tachycardia; syncope; fatigue; gi_symptoms; headache_migraine; neuropathy; brain_fog; palpitations,hEDS; hypermobile EDS; JHS; HSD; POTS; postural tachycardia syndrome; dysautonomia; MCAD,rule_based_v3,2026-04-16T20:48:13.136267,hEDS_HSD,True,False,False
PMC12998959,10.2147/ITT.S581262,"Postural Orthostatic Tachycardia Syndrome, Myalgic Encephalomyelitis/Chronic Fatigue Syndrome and Long COVID as Neuroimmune Disorders.",Immunotargets Ther,2026,2026,post-2017 (2017 international classification),animal_study,True,,100,12,,"8,9 POTS diagnostic criteria include the following: 1) an excessive and sustained increase in heart rate (HR) of more than 30 beats per minute (bpm) within 10 minutes of standing or during a head-up tilt table test [or in individuals aged 12 to 19 years, an increase of > 40 bpm] 2) absence of orthos...",,12,adolescent (12-17),years,,False,True,True,False,False,,,chronic_pain; orthostatic_intolerance; tachycardia; syncope; fatigue; neuropathy; palpitations,POTS; postural tachycardia syndrome; dysautonomia; mast cell activation syndrome,rule_based_v3,2026-04-16T20:48:13.167713,,False,False,False
PMC12982215,10.1007/s10286-025-01172-2,Systematic literature review: treatment of postural orthostatic tachycardia syndrome (POTS).,Clin Auton Res,2026 Feb,2026,post-2017 (2017 international classification),clinical_study,True,,14,32,,Compression garmentsOne RCT with 19 female patients aged 32 ± 2 years in which only splanchnic venous compression (40 mmHg) was compared to placebo could not find significant changes in HR increment (p > 0.,,32,adult (30-44),years,female,False,True,False,False,False,2015 POTS consensus,,orthostatic_intolerance; tachycardia; syncope; fatigue; gi_symptoms; headache_migraine; neuropathy; palpitations,POTS; postural tachycardia syndrome,rule_based_v3,2026-04-16T20:48:13.239098,,False,False,False
PMC12949424,10.1002/ccr3.72181,Postural Orthostatic Tachycardia Syndrome Presenting With Recurrent Syncope After Cervical Spinal Cord Injury.,Clin Case Rep,2026 Mar,2026,post-2017 (2017 international classification),case_report,True,,1,55,,This case report describes a male in his 50s suffering from C2 spinal cord injury who developed recurrent postural syncope post-injury.,,55,middle aged (45-59),decade (50s),male,False,True,False,False,False,,,tachycardia; syncope; flushing; fatigue; gi_symptoms; headache_migraine; neuropathy; palpitations,POTS; postural tachycardia syndrome,rule_based_v3,2026-04-16T20:48:13.315637,,False,False,False
PMC12892731,10.1093/ehjcr/ytag033,Genetic variants in acetylcholine processing and significant improvement with pyridostigmine in a patient with postural orthostatic tachycardia syndrome: a case report.,Eur Heart J Case Rep,2026 Feb,2026,post-2017 (2017 international classification),case_report,True,,1,30,,Case summaryWe report a 30-year-old woman with POTS who experienced significant improvement with pyridostigmine.,,30,adult (30-44),years,female,False,True,False,False,False,,,orthostatic_intolerance; tachycardia; fatigue; headache_migraine,POTS; postural tachycardia syndrome; dysautonomia,rule_based_v3,2026-04-16T20:48:13.329408,,False,False,False
